start_point,end_point,length
3680,2609571,21
3680,3991,35
3681,2938,31
2938,3896,68
3685,3955,82
3686,3906,24
3687,3686,21
3681,2609573,45
3693,3629,23
3693,3989,36
3694,3754,29
3695,5602,235
3695,3952,87
3702,2609575,13
3070,3524,64
3524,2609576,49
3063,4101,45
3706,3716,52
3706,3717,10
3191,3706,185
3707,3595,59
3708,3595,94
3156,4023,83
3714,3787,110
3714,3832,12
3715,2609578,47
3716,3717,51
3717,2609579,174
3718,3719,9
3719,3707,102
3720,3719,22
3596,3726,17
3726,3596,15
3596,3726,18
3687,3906,25
3687,4002,34
3728,3965,177
3728,3774,14
3294,3572,20
3730,2609583,80
3733,3070,79
3629,3537,34
3316,3786,10
3735,3455,411
3745,4112,43
3746,3720,75
3747,3726,62
3649,3726,26
3754,4143,80
3755,3980,28
3755,3604,26
3756,3707,66
3757,3818,9
3757,4025,56
3761,4426,143
3761,3967,31
3762,3969,67
3762,4096,101
3604,3980,34
3450,3931,22
3768,3649,37
3588,4218,51
3769,3588,56
3574,2609596,87
3774,3950,24
3775,3715,28
3777,3636,30
3780,2609601,173
3781,3702,44
3702,2609602,12
3782,3920,37
3786,3878,32
3787,3786,18
2941,3112,7
3787,5000,183
3794,2704,40
3718,3756,12
3756,3504,16
3795,2609342,81
3112,4960,137
3803,3768,46
3806,3880,10
3808,3606,70
3809,2609607,66
3810,4221,53
3810,3880,33
3811,3803,61
3814,3485,108
3815,2609609,106
3817,4339,75
3817,3947,23
3637,4250,49
3567,3022,84
3818,4676,109
3818,4084,57
3823,2609612,59
3828,2609614,25
3232,2670,164
2670,2609615,76
3831,3436,108
3436,4815,113
